,number,word,strength,scholor,vector
120,:-[,-1.6,0.4899,"[-1, -2, -1, -2, -2, -1, -2, -1, -2, -2]",
121,:-\,-0.9,0.3,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1]",
122,:-c,-1.3,0.45826,"[-1, -1, -1, -2, -2, -1, -2, -1, -1, -1]",
123,:-p,1.5,0.5,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]",
124,:-|,-0.7,0.64031,"[-1, -1, 0, 0, 0, -1, -1, -2, 0, -1]",
125,:-||,-2.5,0.67082,"[-2, -2, -2, -3, -2, -3, -3, -2, -2, -4]",
126,:-Þ,0.9,1.04403,"[1, -1, 1, 2, 1, -1, 1, 2, 2, 1]",
127,:/,-1.4,0.66332,"[-1, -1, -1, -1, -1, -1, -3, -2, -2, -1]",
128,:3,2.3,1.26886,"[4, 1, 1, 1, 2, 2, 4, 3, 4, 1]",
129,:<,-2.1,0.7,"[-3, -1, -2, -2, -2, -2, -3, -3, -2, -1]",
130,:>,2.1,1.22066,"[3, 1, 1, 1, 1, 2, 4, 3, 4, 1]",
131,:?),1.3,0.64031,"[3, 1, 1, 1, 1, 2, 1, 1, 1, 1]",
132,:?c,-1.6,0.4899,"[-1, -2, -1, -1, -2, -2, -1, -2, -2, -2]",
133,:@,-2.5,0.80623,"[-1, -3, -3, -2, -1, -3, -3, -3, -3, -3]",
134,:d,2.3,1.1,"[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]",
135,:D,2.3,1.1,"[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]",
136,:l,-1.7,0.9,"[-1, -3, -1, -1, -1, -3, -2, -3, -1, -1]",
137,:o,-0.4,1.35647,"[2, -1, -2, 0, 1, 0, -3, 0, -1, 0]",
138,:p,1.0,0.7746,"[-1, 1, 1, 1, 1, 1, 2, 1, 2, 1]",
139,:s,-1.2,0.9798,"[-2, -2, -1, -1, -1, 1, -3, -1, -1, -1]",
140,:[,-2.0,0.63246,"[-2, -2, -1, -2, -2, -3, -3, -2, -1, -2]",
141,:\,-1.3,0.45826,"[-2, -1, -1, -1, -1, -1, -2, -1, -1, -2]",
142,:],2.2,1.16619,"[3, 1, 1, 1, 3, 1, 4, 2, 2, 4]",
143,:^),2.1,1.13578,"[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]",
144,:^*,2.6,0.91652,"[2, 1, 2, 3, 4, 4, 3, 2, 3, 2]",
145,:^/,-1.2,0.6,"[-2, -1, -2, 0, -1, -1, -1, -1, -2, -1]",
146,:^\,-1.0,0.44721,"[-1, -1, -1, -1, -1, -2, 0, -1, -1, -1]",
147,:^|,-1.0,0.0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",
148,:c,-2.1,0.83066,"[-3, -2, -1, -2, -2, -1, -3, -3, -3, -1]",
149,:c),2.0,1.18322,"[2, 1, 1, 1, 1, 2, 3, 4, 4, 1]",
150,:o),2.1,0.9434,"[1, 3, 3, 1, 1, 3, 2, 3, 1, 3]",
151,:o/,-1.4,0.4899,"[-1, -1, -1, -2, -1, -1, -2, -2, -1, -2]",
152,:o\,-1.1,0.3,"[-1, -1, -1, -2, -1, -1, -1, -1, -1, -1]",
153,:o|,-0.6,1.0198,"[0, 0, 0, 0, -1, 0, 0, -3, 0, -2]",
154,:P,1.4,0.8,"[3, 1, 0, 2, 1, 1, 2, 2, 1, 1]",
155,:{,-1.9,0.83066,"[-2, -1, -1, -2, -2, -1, -3, -3, -3, -1]",
156,:|,-0.4,1.11355,"[-1, -1, 0, -1, -1, -1, 1, -2, 2, 0]",
157,:},2.1,1.22066,"[3, 1, 1, 1, 2, 1, 4, 3, 4, 1]",
158,:Þ,1.1,0.53852,"[1, 1, 1, 1, 0, 1, 1, 2, 2, 1]",
159,;),0.9,1.04403,"[2, -1, 1, 1, 1, 1, -1, 2, 2, 1]",
160,;-),1.0,1.73205,"[1, -2, 1, -2, 1, 4, 2, 1, 2, 2]",
161,;-*,2.2,0.74833,"[2, 2, 1, 3, 4, 2, 2, 2, 2, 2]",
162,;-],0.7,1.67631,"[1, -2, 1, -3, 1, 2, 2, 1, 2, 2]",
163,;d,0.8,1.249,"[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]",
164,;D,0.8,1.249,"[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]",
165,;],0.6,1.11355,"[1, -1, 1, 1, 1, 1, -2, 2, 1, 1]",
